"","dateCrawled","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","model","kilometer","monthOfRegistration","fuelType","brand","notRepairedDamage","dateCreated","postalCode","lastSeen"
"4","3/17/2016 16:54",1500,0,7,2001,0,75,"golf",150000,6,"0",40,0,"3/17/2016 0:00",91074,"3/17/2016 17:40"
"5","3/31/2016 17:25",3600,0,7,2008,0,69,"fabia",90000,7,"1",30,0,"3/31/2016 0:00",60437,"4/6/2016 10:17"
"8","3/21/2016 18:54",0,0,8,1980,0,50,"1",40000,7,"0",40,0,"3/21/2016 0:00",19348,"3/25/2016 16:47"
"13","3/15/2016 22:49",999,1,6,1995,0,115,"passat",150000,11,"0",40,NA,"3/15/2016 0:00",37269,"4/1/2016 13:16"
"14","3/21/2016 21:37",2500,1,6,2004,0,131,"passat",150000,2,"",40,0,"3/21/2016 0:00",90762,"3/23/2016 2:50"
"25","3/13/2016 20:40",500,0,8,1990,0,118,"1",150000,10,"0",37,1,"3/13/2016 0:00",35390,"3/13/2016 20:40"
"27","3/10/2016 19:38",5555,1,NA,2017,0,125,"c4",125000,4,"",27,0,"3/10/2016 0:00",31139,"3/16/2016 9:16"
"28","3/7/2016 12:51",6900,0,8,2008,0,99,"civic",60000,11,"0",19,0,"3/7/2016 0:00",12621,"3/26/2016 9:44"
"29","3/9/2016 11:56",1990,0,5,1981,0,50,"transporter",5000,1,"0",40,0,"3/9/2016 0:00",87471,"3/10/2016 7:44"
"34","3/25/2016 21:48",18000,0,8,2007,1,218,"3er",20000,5,"0",30,0,"3/25/2016 0:00",39179,"4/7/2016 4:45"
"45","3/17/2016 12:44",3900,0,7,2008,1,61,"fortwo",80000,6,"0",29,NA,"3/17/2016 0:00",21073,"3/19/2016 11:46"
"48","4/4/2016 0:38",2100,0,6,1998,1,193,"5er",150000,2,"0",30,0,"4/3/2016 0:00",86157,"4/6/2016 8:16"
"49","3/25/2016 14:40",7750,1,NA,2017,0,80,"golf",100000,1,"0",40,NA,"3/25/2016 0:00",48499,"3/31/2016 21:47"
"55","3/17/2016 7:56",4700,1,6,2005,0,0,"signum",150000,0,"",38,0,"3/17/2016 0:00",88433,"4/4/2016 4:17"
"57","3/21/2016 1:59",39600,0,3,2014,1,306,"1",30000,7,"0",30,0,"3/21/2016 0:00",10435,"4/3/2016 23:16"
"62","3/26/2016 7:54",200,0,3,1995,0,102,"3er",150000,4,"0",30,NA,"3/26/2016 0:00",23560,"4/1/2016 20:46"
"64","3/30/2016 12:49",5500,1,7,2010,0,60,"fabia",70000,4,"0",30,0,"3/30/2016 0:00",57076,"4/7/2016 3:44"
"65","3/8/2016 12:54",7000,0,8,2006,1,105,"jetta",100000,10,"1",40,0,"3/8/2016 0:00",6242,"3/11/2016 17:16"
"72","3/8/2016 1:36",800,1,7,1993,0,0,"polo",150000,3,"0",40,0,"3/8/2016 0:00",8258,"4/5/2016 23:46"
